CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX332780,7/5/2014,OTHER OFFENSE,PROBATION VIOLATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,1113,N
HX332854,7/5/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1533,Y
HX332743,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1021,Y
HX332735,7/5/2014,THEFT,$500 AND UNDER,RESTAURANT,N,N,1014,Y
HX332740,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,513,N
HX335512,7/5/2014,BATTERY,SIMPLE,OTHER,N,N,1634,Y
HX334240,7/5/2014,THEFT,FROM BUILDING,OTHER,N,N,1912,Y
HX333608,7/5/2014,ASSAULT,SIMPLE,STREET,N,Y,2511,Y
HX332795,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922,Y
HX332838,7/5/2014,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,1631,Y
HX332748,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,631,Y
HX332778,7/5/2014,ASSAULT,SIMPLE,SIDEWALK,Y,Y,221,N
HX332745,7/5/2014,BATTERY,SIMPLE,STREET,Y,N,1834,N
HX332787,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1112,N
HX332777,7/5/2014,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,STREET,Y,N,213,N
HX332779,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922,Y
HX332753,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),N,N,2011,Y
HX332771,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1131,N
HX332782,7/5/2014,ASSAULT,SIMPLE,SIDEWALK,Y,N,1033,N
HX332943,7/5/2014,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,Y,N,2431,N
HX332823,7/5/2014,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,Y,N,621,N
HX332768,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1115,N
HX332784,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1121,N
HX332776,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2233,Y
HX332752,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,333,Y
HX333519,7/5/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1434,Y
HX332868,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532,Y
HX333538,7/5/2014,THEFT,$500 AND UNDER,ALLEY,N,N,1924,Y
HX332839,7/5/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,613,Y
HX333239,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,824,Y
HX333233,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1513,Y
HX333084,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,2232,Y
HX332861,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,831,Y
HX332816,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2522,Y
HX333680,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,712,Y
HX333741,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1121,Y
HX334941,7/5/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,715,Y
HX332831,7/5/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1532,N
HX332799,7/5/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1121,N
HX332730,7/5/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,726,Y
HX332801,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,Y,N,1412,N
HX332793,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1511,Y
HX332797,7/5/2014,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,934,N
HX332892,7/5/2014,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,N,Y,332,Y
HX332886,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,1931,Y
HX332791,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1913,N
HX332803,7/5/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CLEANING STORE,Y,N,822,N
HX332794,7/5/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,Y,N,531,N
HX332807,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,823,N
HX332809,7/5/2014,NARCOTICS,POSS: BARBITUATES,STREET,Y,N,422,N
HX332806,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ALLEY,Y,N,2532,N
HX332810,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1021,N
HX332808,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,133,Y
HX333268,7/5/2014,THEFT,$500 AND UNDER,STREET,N,N,523,Y
HX333411,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,611,Y
HX332819,7/5/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833,Y
HX332924,7/5/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,723,Y
HX332811,7/5/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),Y,N,915,N
HX332859,7/5/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,1122,N
HX332825,7/5/2014,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,Y,N,1131,N
HX332864,7/5/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),Y,N,1034,N
HX332815,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,2533,N
HX333871,7/5/2014,THEFT,OVER $500,STREET,N,N,314,Y
HX332828,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1115,N
HX332841,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,Y,N,2532,N
HX332830,7/5/2014,BATTERY,SIMPLE,RESIDENCE,N,N,1113,Y
HX332813,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,322,N
HX332822,7/5/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1513,N
HX332847,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1034,Y
HX333016,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1632,Y
HX333222,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,912,Y
HX333400,7/5/2014,THEFT,OVER $500,STREET,N,N,1924,Y
HX333001,7/5/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,324,Y
HX333460,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2023,Y
HX333178,7/5/2014,THEFT,OVER $500,ALLEY,N,N,1511,Y
HX332872,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1821,Y
HX335034,7/5/2014,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,Y
HX335117,7/5/2014,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,N,N,1233,Y
HX334691,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,OTHER,N,N,1934,Y
HX333890,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2431,Y
HX333338,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1433,Y
HX333564,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,1111,Y
HX332850,7/5/2014,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,Y,N,735,N
HX332875,7/5/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,ALLEY,Y,N,735,N
HX332834,7/5/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,2413,N
HX332843,7/5/2014,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENTIAL YARD (FRONT/BACK),Y,N,412,N
HX332888,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,221,Y
HX332835,7/5/2014,GAMBLING,GAME/DICE,SIDEWALK,Y,N,1513,N
HX332837,7/5/2014,BATTERY,SIMPLE,BAR OR TAVERN,Y,N,1212,N
HX332845,7/5/2014,NARCOTICS,POSS: CRACK,RESIDENTIAL YARD (FRONT/BACK),Y,N,1113,N
HX332851,7/5/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,Y,N,731,N
HX332867,7/5/2014,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Y,N,2523,N
HX332860,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1522,N
